Species,d15N.LE,d15N.bulk,d13C.LE,d13C.bulk,C.N.LE,C.N.bulk,St.Dev.C,St.Dev.N,Sample.Type,Sub.Species,Sci.Name,SampleName,Sample,Tissue.Type,Station,Date,Month,Year,Depth.Strata,Length,Weight,Latitude,Longitude,Latitude2,Longitude2,Latitude3,Longitude3,Comment
Magister Squid,16.51,13.8,-18.82,-19.92,3.16,3.38,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-3,Bm260-3,Mantle,Bm260,8/3/17,Aug,2017,320,32,1094,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
Magister Squid,14.39,13.34,-18.26,-19.1,3.07,3.34,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-4,Bm260-4,Mantle,Bm260,8/3/17,Aug,2017,320,31,1026,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
Magister Squid,13.59,13.3,-17.61,-20.07,2.96,3.34,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-5,Bm260-5,Mantle,Bm260,8/3/17,Aug,2017,320,28,738,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
Magister Squid,16.35,14.33,-18.57,-19.28,3.05,3.39,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm260-6,Bm260-6,Mantle,Bm260,8/3/17,Aug,2017,320,33,1250,57.26539,136.29366,57.26539,-136.29366,57.26539,136.29366,
Magister Squid,13.53,11.63,-17.94,-19.49,3.07,3.38,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm265-1,Bm265-1,Mantle,Bm265,8/4/17,Aug,2017,271,25,558,56.13923,135.00011,56.13923,-135.00011,56.13923,135.00011,
Magister Squid,13.4,11.63,-17.63,-19.09,3,3.43,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm265-2,Bm265-2,Mantle,Bm265,8/4/17,Aug,2017,271,24,552,56.13923,135.00011,56.13923,-135.00011,56.13923,135.00011,
Magister Squid,14.08,12.69,-17.99,-19.85,3.07,3.38,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm265-3,Bm265-3,Mantle,Bm265,8/4/17,Aug,2017,271,25,694,56.13923,135.00011,56.13923,-135.00011,56.13923,135.00011,
Magister Squid,14.78,11.48,-18.84,-19.22,2.95,3.35,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm265-4,Bm265-4,Mantle,Bm265,8/4/17,Aug,2017,271,28,878,56.13923,135.00011,56.13923,-135.00011,56.13923,135.00011,
Magister Squid,13.71,11.6,-18.39,-19.67,3,3.33,0.06,0.16,Bm,Magister Squid,Berryteuthis,Bm265-5,Bm265-5,Mantle,Bm265,8/4/17,Aug,2017,271,23,493.2,56.13923,135.00011,56.13923,-135.00011,56.13923,135.00011,
Magister Squid,13.2,11.15,-18.55,-20.15,3.02,3.5,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm266-1,Bm266-1,Mantle,Bm266,8/4/17,Aug,2017,462,13,80,56.04692,134.48356,56.04692,-134.48356,56.04692,134.48356,
Magister Squid,13.74,11.76,-18.16,-19.63,3.08,3.52,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm266-2,Bm266-2,Mantle,Bm266,8/4/17,Aug,2017,462,13,96,56.04692,134.48356,56.04692,-134.48356,56.04692,134.48356,
Magister Squid,13.5,11.84,-17.66,-18.88,3.07,3.42,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm266-3,Bm266-3,Mantle,Bm266,8/4/17,Aug,2017,462,28,832,56.04692,134.48356,56.04692,-134.48356,56.04692,134.48356,
Magister Squid,12.44,10.85,-19.58,-21.18,3.03,3.55,0.2,0.22,Bm,Magister Squid,Berryteuthis,Bm266-4,Bm266-4,Mantle,Bm266,8/4/17,Aug,2017,462,13,96,56.04692,134.48356,56.04692,-134.48356,56.04692,134.48356,
Magister Squid,13.39,11.5,-19.37,-20.49,3.21,3.58,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm270-1,Bm270-1,Mantle,Bm270,7/28/17,Jul,2017,277,12.8,69,57.98041,137.18744,57.98041,137.18744,57.98041,137.18744,
Magister Squid,12.43,10.84,-19.85,-20.6,3.16,3.41,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm273-1,Bm273-1,Mantle,Bm273,7/29/17,Jul,2017,329,16.4,127,57.26915,136.29366,57.26915,-136.29617,57.26915,136.29617,
Magister Squid,12.43,10.61,-19.72,-20.49,3.18,3.43,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm273-2,Bm273-2,Mantle,Bm273,7/29/17,Jul,2017,329,16.6,124.7,57.26915,136.29366,57.26915,-136.29617,57.26915,136.29617,
Magister Squid,13.43,11.67,-19.48,-20.43,3.16,3.48,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm273-3,Bm273-3,Mantle,Bm273,7/29/17,Jul,2017,329,23,398,57.26915,136.29366,57.26915,-136.29617,57.26915,136.29617,
Magister Squid,14.77,12.77,-19.99,-20.96,3.15,3.32,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm273-4,Bm273-4,Mantle,Bm273,7/29/17,Jul,2017,329,25.7,579.2,57.26915,136.29366,57.26915,-136.29617,57.26915,136.29617,
Magister Squid,14.45,13.11,-19.35,-20.29,3.19,3.42,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm273-5,Bm273-5,Mantle,Bm273,7/29/17,Jul,2017,329,30,964,57.26915,136.29366,57.26915,-136.29617,57.26915,136.29617,
Magister Squid,13.23,11.88,-18.78,-19.56,3.17,3.37,0.1,0.08,Bm,Magister Squid,Berryteuthis,Bm280-1,Bm280-1,Mantle,Bm280,8/1/17,Aug,2017,221,24,540.45,56.16461,135.0934,56.16461,-135.0934,56.16461,135.0934,
Market Squid,11.21,12.31,-18.06,-19.47,3.54,4.18,0.05,0.04,Do,Market Squid,Loligo,SQ201602-1 M.L.E,SQ201602.1,Mantle,,16-Feb,Feb,2016,15,8.9,,57.014075,135.1538917,"57 00' 50.67\"",135 09' 14.01\""""",NA,NA,,
Market Squid,13.03,12.616,-17.16,-18.92689503,3.19,3.97,0.05,0.04,Do,Market Squid,Loligo,SQ201602-1 T.L.E,SQ201602.2,Tentacle,,16-Feb,Feb,2016,15,8.9,,57.014075,135.1538917,"57 00' 50.67\"",135 09' 14.01\""""",NA,NA,,
Ragfish,14.56,13.87,-17.86,-19.63,3.047126616,4.031903196,0.202871837,0.22,Ia,Ragfish,Icosteus,Ia225-1,Ia002-17,Dorsal,,7/20/17,Jul,2017,291,56,,60.03711,149.36127,60.03711,-149.36127,60.03711,149.36127,
Ragfish,13.75,13.14,-18.95,-20.28,3.082274324,3.704141525,0.202871837,0.22,Ia,Ragfish,Icosteus,Ia225-2,Ia003-17,Dorsal,,7/20/17,Jul,2017,291,51,,60.03711,149.36127,60.03711,-149.36127,60.03711,149.36127,
Ragfish,14.71,14.11,-17.97,-20.24,2.996171719,4.114724387,0.202871837,0.22,Ia,Ragfish,Icosteus,Ia15-1,Ia001-17,Dorsal,,5/31/17,May,2017,556,39,605.4,53.10241,166.77825,53.10241,-166.77825,NA,NA,
Sablefish,16.59,15.51,-17.76,-20.7,3.22,7.75,0.08,0.11,Af,Sablefish,Anoplopoma,BC201311CH-1 D1-LE,BC201311,Dorsal,,13-Nov,Nov,2013,NA,NA,,NA,NA,,,NA,NA,
Sablefish,15.55,16.3,-17.35,-21.05,3.26,7.32,0.08,0.11,Af,Sablefish,Anoplopoma,BC201400CH-1 C1-LE,BC201400,Collar,,14-Oct,Oct,2014,NA,NA,,NA,NA,,,NA,NA,
Sablefish,17.33,14.05,-17.28,-21.55,3.18,9.23,0.08,0.11,Af,Sablefish,Anoplopoma,BC201407-1 C1-LE,BC201407,Collar,,14-Jul,Jul,2014,NA,NA,,NA,NA,,,NA,NA,
Sablefish,16.9,15.05,-16.67,-20.6,3.18,7.09,0.08,0.11,Af,Sablefish,Anoplopoma,BC201510CH-1 D1-LE,BC201510,Dorsal,,10/1/15,Oct,2015,NA,NA,,NA,NA,,,NA,NA,
Sablefish,15.5,NA,-17.1,NA,3.56,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160802-258,Af258-16,Collar,89,8/2/16,Aug,2016,101,51,1.14,59.23,146.9601667,5913.8,14657.61,59.23,146.9601667,
Sablefish,15.04,NA,-18.51,NA,3.47,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160730-233,Af233-16,Collar,92,7/30/16,Jul,2016,301,64,2.98,59.555,143.6575,5933.3,14340,59.555,143.6575,
Sablefish,15.95,NA,-16.61,NA,3.53,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160730-240,Af240-16,Collar,92,7/30/16,Jul,2016,601,52,1.21,59.555,143.6575,5933.3,14340,59.555,143.6575,
Sablefish,14.65,14.28,-18.27,-19.04,3.08,3.5,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160728-176,Af176-16,Collar,93,7/28/16,Jul,2016,401,43,0.79,59.55,142.5718333,5933,14233.26,59.55,142.5718333,
Sablefish,14.81,14.08,-18.91,-22.96,3.27,8.55,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160727-170,Af170-16,Collar,94,7/27/16,Jul,2016,801,61,2.57,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Sablefish,14.91,14.55,-18.69,-22.84,3.44,9.16,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160727-171,Af171-16,Collar,94,7/27/16,Jul,2016,801,67,3.57,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Sablefish,16.33,NA,-18.06,NA,3.25,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160727-174,Af174-16,Collar,94,7/27/16,Jul,2016,801,69,3.93,59.42833333,142.296,5925.7,14217.76,59.42833333,142.296,
Sablefish,15.94,14.78,-18.33,-20.74,3.53,5.44,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160726-156,Af156-16,Collar,95,7/26/16,Jul,2016,401,86,6.47,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Sablefish,15.1,NA,-18.18,NA,3.45,NA,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160726-154,Af154-16,Collar,95,7/26/16,Jul,2016,301,67,2.99,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Sablefish,15.33,NA,-16.95,NA,3.34,NA,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160719-139,Af139-16,Dorsal,96,7/19/16,Jul,2016,601,47,0.97,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
Sablefish,16.98,NA,-17.71,NA,3.1,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160726-159,Af159-16,Collar,96,7/26/16,Jul,2016,401,82,5.83,59.05,141.3433333,5903,14120.6,58.68333333,140.6438333,
Sablefish,15.23,NA,-17.25,NA,3.06,NA,0.15,0.2,Af,Sablefish,Anoplopoma,Af20160726-163,Af163-16,Collar,96,7/26/16,Jul,2016,601,78,4.6,59.05,141.3433333,5903,14120.6,58.68333333,140.6438333,
Sablefish,14.95,NA,-19.09,NA,3.11,NA,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160714-81,Af081-16,Dorsal,101,7/14/16,Jul,2016,201,72,4.165,57.18666667,136.2365,5711.2,13614.19,57.18666667,136.2365,
Sablefish,14.48,NA,-18.88,NA,3.29,NA,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160714-86,Af086-16,Dorsal,101,7/14/16,Jul,2016,401,60,2.32,57.18666667,136.2365,5711.2,13614.19,57.18666667,136.2365,
Sablefish,15.55,15.06,-17.96,-22.11,3.23,6.93,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160711-51,Af051-16,Dorsal,104,7/11/16,Jul,2016,301,68,3.69,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Sablefish,15.19,NA,-17.89,NA,3.23,NA,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160711-60,Af060-16,Dorsal,104,7/11/16,Jul,2016,401,59,2.195,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Sablefish,14.57,13.61,-18.39,-22.19,3.2,6.86,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160711-63,Af063-16,Dorsal,104,7/11/16,Jul,2016,601,60,2.33,55.98333333,135.4353333,5559,13526.12,55.98333333,135.4353333,
Sablefish,14.03,NA,-18.72,NA,3.14,NA,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160709-28,Af028-16,Dorsal,105,7/9/16,Jul,2016,201,81,3.36,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Sablefish,13.6,13.36,-17.72,-21.4,2.94,5.41,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160709-33,Af033-16,Dorsal,105,7/9/16,Jul,2016,401,67,3.105,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Sablefish,15.49,15.39,-17.84,-22.01,3.12,6.48,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160709-36,Af036-16,Dorsal,105,7/9/16,Jul,2016,401,76,5.355,55.55666667,134.9686667,5533.4,13458.12,55.55666667,134.9686667,
Sablefish,15.79,15.16,-18,-21.47,3.21,5.45,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160709-42,Af042-16,Dorsal,105,7/9/16,Jul,2016,601,77,4.15,55.58166667,135.0531667,5534.9,13503.19,55.55666667,134.9686667,
Sablefish,16.8003635,15.7,-18.2763,-21.36,5.13,7.01,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160709-43,Af043-16,Dorsal,105,7/9/16,Jul,2016,601,75,4.47,55.58166667,135.0531667,5534.9,13503.19,55.55666667,134.9686667,
Sablefish,14.14,NA,-18.88,NA,3.04,NA,0.16,0.13,Af,Sablefish,Anoplopoma,Af20160706-14,Af014-16,Dorsal,108,7/6/16,Jul,2016,401,65,2.95,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Sablefish,14.41,NA,-18.34,NA,3.29,NA,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160706-6,Af006-16,Dorsal,108,7/6/16,Jul,2016,201,78,5.835,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Sablefish,14.56,14.12,-18.46,-21.11,3.27,5.43,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160706-7,Af007-16,Dorsal,108,7/6/16,Jul,2016,201,79,5.305,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Sablefish,15.7,15.63,-17.89,-21.14,3.09,5.82,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160706-13,Af013-16,Dorsal,108,7/6/16,Jul,2016,401,64,2.145,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Sablefish,14.86,15.11,-18.46,-23.48,3.06,10.16,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160706-8,Af008-16,Dorsal,108,7/6/16,Jul,2016,301,64,3.07,54.46666667,133.923,5428,13355.38,54.46666667,133.923,
Sablefish,14.57,NA,-18.45,NA,3.26,NA,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160729-220,Af220-16,Collar,136,7/29/16,Jul,2016,201,73,4,59.76,143.7,5945.6,14342,59.745,143.5743333,
Sablefish,14.75,NA,-18.42,NA,3.3,NA,0.219154436,0.19,Af,Sablefish,Anoplopoma,Af20160729-221,Af221-16,Collar,136,7/29/16,Jul,2016,201,65,2.98,59.76,143.7,5945.6,14342,59.745,143.5743333,
Sablefish,15.33,14.76,-18.86,-22.26,3.38,6.91,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160716-103,Af103-16,Dorsal,142,7/16/16,Jul,2016,401,61,2.414,57.915,137.0043333,5754.9,13700.26,57.915,137.0043333,
Sablefish,16.3,NA,-17.13,NA,3.34,NA,0.2,0.16,Af,Sablefish,Anoplopoma,Af20160716-112,Af112-16,Dorsal,143,7/16/16,Jul,2016,301,60,2.35,57.915,137.0043333,5754.9,13700.26,57.915,137.0043333,
Sablefish,15.23,12.83,-18.66,-21.95,3.09,5.13,0.05,0.04,Af,Sablefish,Anoplopoma,BC20160515-1 D.L.E,BC20160515,Dorsal,,5/15/15,May,2016,600,NA,,NA,NA,,,NA,NA,
Sablefish,16.41,15.83,-17.11,-21.31,3.28,8.71,0.05,0.04,Af,Sablefish,Anoplopoma,BC20160905-CH1 D.L.E,BC20160905,Dorsal,,9/5/15,Sep,2016,NA,NA,,NA,NA,,,NA,NA,
Sablefish,14.17,13.87,-18.89,-22.79,3.12,6.349625848,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170803-6,Af213-17,Collar,89,8/3/17,Jul,2017,601,77,5.755,59.16666667,147.0815,5910,14704.89,59.16666667,147.0815,
Sablefish,16.13,14.27,-18.48,-21.52,3.1,5.095550689,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170803-1,Af205-17,Collar,89,8/3/17,Jul,2017,301,69,3.175,59.26,146.8653333,5915.6,14651.92,59.23,146.9601667,
Sablefish,15.97,15.03,-17.89,-21.69,3.1,6.41571045,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170803-4,Af208-17,Collar,89,8/3/17,Jul,2017,401,70,3.435,59.26,146.8653333,5915.6,14651.92,59.23,146.9601667,
Sablefish,16,15.35,-16.97,-20.71,3.07,6.212858421,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170731-1,Af175-17,Collar,92,7/31/17,Jul,2017,401,61,2.375,59.555,143.6575,5933.3,14339.45,59.555,143.6575,
Sablefish,15,13.56,-17.74,-20.6,3.11,5.753446641,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170731-3,Af187-17,Collar,92,7/31/17,Jul,2017,601,61,2.385,59.58333333,143.9406667,5935,14356.44,59.555,143.6575,
Sablefish,15.98,14.66,-17.78,-21.18,3.1,6.195630509,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170731-4,Af188-17,Collar,92,7/31/17,Jul,2017,601,87,6.75,59.58333333,143.9406667,5935,14356.44,59.555,143.6575,
Sablefish,14.8,13.83,-18.15,-21.43,3.05,5.352146668,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170729-1,Af154-17,Collar,93,7/29/17,Jul,2017,601,71,3.15,59.56666667,142.7956667,5934,14247.74,59.55,142.5718333,
Sablefish,16.46,15.79,-16.5,-19.72,3.08,6.838426246,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170729-2,Af155-17,Collar,93,7/29/17,Jul,2017,601,73,2.71,59.56666667,142.7956667,5934,14247.74,59.55,142.5718333,
Sablefish,14.73,14.46,-17.47,-21.02,3.07,7.456636959,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170729-3,Af158-17,Collar,93,7/29/17,Jul,2017,401,62,2.63,59.56666667,142.7956667,5934,14247.74,59.55,142.5718333,
Sablefish,14.9,13.34,-18.29,-22.49,3.02,6.741115352,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170726-1,Af133-17,Collar,96,7/26/17,Jul,2017,301,66,2.93,58.68166667,140.642,5840.9,14038.52,58.68333333,140.6438333,Originally listed as Sa Dogfish
Sablefish,15.97,14.39,-16.87,-20.18,3.08,6.131531447,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170726-2,Af136-17,Collar,96,7/26/17,Jul,2017,401,55,1.77,58.68666667,140.7786667,5841.2,14046.72,58.68333333,140.6438333,
Sablefish,14.72,13.72,-17.72,-18.46,3.03,3.1963862,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170726-4,Af138-17,Collar,96,7/26/17,Jul,2017,401,56,1.48,58.68666667,140.7786667,5841.2,14046.72,58.68333333,140.6438333,"Seems to dry for Af, more like grennier or Sb"
Sablefish,16.83,NA,-17.42,NA,3.01,NA,0.11,0.24,Af,Sablefish,Anoplopoma,Af20170718-5,Af116-17,Collar,99,7/18/17,Jul,2017,601,92,7.955,57.88166667,137.4916667,5752.9,13729.5,57.88166667,137.4916667,
Sablefish,14.28,NA,-17.93,NA,2.97,NA,0.11,0.24,Af,Sablefish,Anoplopoma,Af20170718-1,Af112-17,Collar,99,7/18/17,Jul,2017,301,46,0.845,57.945,137.3833333,5756.7,13723,57.88166667,137.4916667,
Sablefish,15.14,NA,-18.77,NA,3.06,NA,0.11,0.24,Af,Sablefish,Anoplopoma,Af20170718-3,Af114-17,Collar,99,7/18/17,Jul,2017,401,58,1.99,57.945,137.3833333,5756.7,13723,57.88166667,137.4916667,
Sablefish,15.9,14.43,-17.61,-22.12,3.13,9.621373019,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170715-3,Af055-17,Collar,101,7/15/17,Jul,2017,301,85,6.57,57.18666667,136.2365,5711.5,13614.54,57.18666667,136.2365,
Sablefish,16.1,14.51,-18.35,-22.05,3.14,7.777424896,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170715-4,Af056-17,Collar,101,7/15/17,Jul,2017,401,70,3.33,57.18666667,136.2365,5711.5,13614.54,57.18666667,136.2365,
Sablefish,15.46,14.12,-18.03,-22.64,3.11,7.892895681,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170715-5,Af059-17,Collar,101,7/15/17,Jul,2017,601,67,3.26,57.29,136.3816667,5717.4,13622.9,57.18666667,136.2365,
Sablefish,15.73,15.53,-17.75,-22.16,3.13,8.23247375,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170714-3,Af038-17,Collar,102,7/14/17,Jul,2017,301,64,2.51,56.85333333,136.0026667,5651.2,13600.16,56.85333333,136.0026667,
Sablefish,16.22,NA,-16.01,NA,3.09,NA,0.11,0.24,Af,Sablefish,Anoplopoma,Af20170714-5,Af043-17,Collar,102,7/14/17,Jul,2017,401,55,1.66,56.89333333,136.0938333,5653.6,13605.63,56.85333333,136.0026667,
Sablefish,15.59,14.33,-17.61,-22.11,3.12,8.947915986,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170714-4,Af039-17,Collar,102,7/14/17,Jul,2017,401,61,2.195,56.89333333,136.0938333,5653.6,13605.63,56.85333333,136.0026667,
Sablefish,13.36,13.15,-18.78,-21.89,3.22,6.999988624,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170709-1,Af001-17,Collar,106,7/9/17,Jul,2017,401,59,1.41,55.34833333,134.7303333,5520.9,13443.82,55.34833333,134.7303333,
Sablefish,14.46,13.69,-16.9,-19.23,3.05,4.994755912,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170709-2,Af002-17,Collar,106,7/9/17,Jul,2017,401,48,0.895,55.34833333,134.7303333,5520.9,13443.82,55.34833333,134.7303333,"seems too dry for Af, more like grennie or Sb b/c light & white-ish"
Sablefish,14.83,14.03,-17.97,-21.9,3.1,7.656176359,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170709-5,Af009-17,Collar,106,7/9/17,Jul,2017,301,71,3.97,55.34833333,134.7303333,5520.9,13443.82,55.34833333,134.7303333,
Sablefish,13.84,13.48,-18.28,-21.55,3.07,5.430582071,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170730-1,Af164-17,Collar,137,7/30/17,Jul,2017,301,64,2.51,59.67333333,143.3866667,5940.4,14323.2,59.67333333,143.3866667,
Sablefish,15.78,14.55,-18.02,-22.06,3.07,8.391542295,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170717-1,Af073-17,Collar,142,7/17/17,Jul,2017,101,61,2.62,57.91666667,137.2423333,5755,13700.36,57.915,137.0043333,
Sablefish,15.34,13.84,-17.28,-19.92,3.07,4.738709536,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170717-3,Af077-17,Collar,142,7/17/17,Jul,2017,201,49,1.085,57.91666667,137.2423333,5755,13700.36,57.915,137.0043333,"Seems to dry for Af, more like grennier or Sb"
Sablefish,14.38,13.75,-17.44,-21.03,3.07,6.991673924,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170717-4,Af078-17,Collar,142,7/17/17,Jul,2017,201,81,4.91,57.91666667,137.2423333,5755,13700.36,57.915,137.0043333,
Sablefish,14.08,13.05,-17.91,-19.68,3.06,4.084933421,0.14,0.68,Af,Sablefish,Anoplopoma,Af20170717-5,Af098-17,Collar,143,7/17/17,Jul,2017,401,51,1.118,57.96666667,137.0843333,5758,13705.06,57.915,137.0043333,"Seems to dry for Af, more like grennier or Sb"
Shortraker Rockfish,16.14,15.34,-18.73,-18.48,3.31,3.23,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160802-263,Sb263-16,Dorsal,89,8/2/16,Aug,2016,201,58,2.96,59.23,146.9601667,5913.8,14657.61,59.23,146.9601667,
Shortraker Rockfish,16.4,NA,-18.84,NA,3.52,NA,0.15,0.2,Sb,Shortraker Rockfish,Sebastes,Sb20160801-250,Sb250-16,Dorsal,90,8/1/16,Aug,2016,101,62,4.82,59.50166667,145.5365,5930,14531.71,59.50166667,145.5365,
Shortraker Rockfish,16.34,NA,-18.72,NA,3.56,NA,0.15,0.2,Sb,Shortraker Rockfish,Sebastes,Sb20160801-251,Sb251-16,Dorsal,90,8/1/16,Aug,2016,101,71,6.23,59.50166667,145.5365,5930,14531.71,59.50166667,145.5365,
Shortraker Rockfish,15.79,NA,-19.08,NA,3.06,NA,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160801-252,Sb252-16,Dorsal,90,8/1/16,Aug,2016,101,64,4.78,59.50166667,145.5365,5930,14531.71,59.50166667,145.5365,
Shortraker Rockfish,15.57,NA,-19.06,NA,3.11,NA,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160730-230,Sb230-16,Dorsal,92,7/30/16,Jul,2016,201,77,8.81,59.555,143.6575,5933.3,14340,59.555,143.6575,
Shortraker Rockfish,16.17,NA,-18.26,NA,3.54,NA,0.15,0.2,Sb,Shortraker Rockfish,Sebastes,Sb20160730-232,Sb232-16,Dorsal,92,7/30/16,Jul,2016,201,67,5.44,59.555,143.6575,5933.3,14340,59.555,143.6575,
Shortraker Rockfish,13.64,13.27,-19.11,-19.18,3.29,3.25,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160730-244,Sb244-16,Dorsal,92,7/30/16,Jul,2016,601,66,5.13,59.56666667,143.8098333,5934,14348.59,59.555,143.6575,
Shortraker Rockfish,14.68,NA,-20.11,NA,3.29,NA,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160728-180,Sb180-16,Collar,93,7/28/16,Jul,2016,301,54,2.9,59.55,142.5718333,5933,14233.26,59.55,142.5718333,
Shortraker Rockfish,15.22,NA,-19.52,NA,3.17,NA,0.15,0.2,Sb,Shortraker Rockfish,Sebastes,Sb20160726-152,Sb152-16,Dorsal,95,7/26/16,Jul,2016,201,61,4.03,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Shortraker Rockfish,15.53,NA,-19.69,NA,3.75,NA,0.2,0.16,Sb,Shortraker Rockfish,Sebastes,Sb20160726-144,Sb144-16,Dorsal,95,7/26/16,Jul,2016,301,76,8.29,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Shortraker Rockfish,15.02,14.78,-19.45,-19.53,3.28,3.28,0.2,0.16,Sb,Shortraker Rockfish,Sebastes,Sb20160726-145,Sb145-16,Dorsal,95,7/26/16,Jul,2016,301,66,4.87,59.05,141.3433333,5903,14120.6,59.05,141.3433333,
Shortraker Rockfish,14.65,NA,-19.99,NA,3.25,NA,0.16,0.13,Sb,Shortraker Rockfish,Sebastes,Sb20160719-133,Sb133-16,Dorsal,96,7/19/16,Jul,2016,401,49,1.875,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
Shortraker Rockfish,14.57,14.47,-19.37,-18.97,3.19,3.21,0.219154436,0.19,Sb,Shortraker Rockfish,Sebastes,Sb20160719-134,Sb134-16,Dorsal,96,7/19/16,Jul,2016,401,71,5.84,58.68333333,140.6438333,5841,14038.63,58.68333333,140.6438333,
